accountcode,accountname,parent_acc,sectionid,bank,account_tax_id,acc_level,lineage
10000,Cash in Vault-KHR-HO,0,10,1,0,0,0
10001,Cash in Vault-KHR-BB,10000,10,1,0,0,0
10002,Cash in Vault-USD-HO,10000,10,1,0,0,0
10003,Cash in Vault-CBC/Loans Fee-USD,10000,10,1,0,0,0
10004,Cash on Hand-USD-Operating Expense,10000,10,1,0,0,0
10005,Cash in Vautt-USD-HO Repayment Loan,10000,10,1,0,0,0
10006,Cash in Vault- CBC/Loan Fee-USD,10000,10,1,0,0,0
10007,Cash in Vault-USD-BB,10000,10,1,0,0,0
10008,Cash in Vault-CBC/Loans Fee-USD-BB,10000,10,1,0,0,0
10009,Cash on Hand-Operating Expense-USD-BB,10000,10,1,0,0,0
10010,Cash in Vautt-HO Repayment Loan-USD-BB,10000,10,1,0,0,0
10011,Cash in Vault-EUR-HO,10000,10,1,0,0,0
10012,Cash in Vault-EURO-BB,10000,10,1,0,0,0
10013,Cash in Vault-THB-HO,10000,10,1,0,0,0
10014,Cash in Vault-THB-BB,10000,10,1,0,0,0
10015,Petty Cash-KHR-HO,10000,10,1,0,0,0
10016,Petty Cash-KHR-BB,10000,10,1,0,0,0
10017,Petty Cash-USD-HO,10000,10,1,0,0,0
10018,Petty Cash-USD-BBB,10000,10,1,0,0,0
10019,Petty Cash-USD-B-B,10000,10,1,0,0,0
10020,Petty Cash-USD-BB,10000,10,1,0,0,0
10021,Petty Cash-EUR-HO,10000,10,1,0,0,0
10022,Petty Cash-EURO-BB,10000,10,1,0,0,0
10023,Petty Cash-THB-HO,10000,10,1,0,0,0
10024,Petty Cash-THB-BB,10000,10,1,0,0,0
10025,Cash in Transit-KHR-HO,10000,10,1,0,0,0
10026,Cash in Transit-KHR-BB,10000,10,1,0,0,0
10027,Cash in Transit-USD-HO,10000,10,1,0,0,0
10028,Cash in Transit-USD-BB,10000,10,1,0,0,0
10029,Cash in Transit-EUR-HO,10000,10,1,0,0,0
10030,Cash in Transit-EURO-BB,10000,10,1,0,0,0
10031,Cash in Transit-THB-HO,10000,10,1,0,0,0
10032,Cash in Transit-THB-BB,10000,10,1,0,0,0
10033,Cheques in Transit-KHR-HO,10000,10,1,0,0,0
10034,Cheques in Transit-KHR-BB,10000,10,1,0,0,0
10035,Cheques in Transit-USD-HO,10000,10,1,0,0,0
10036,Cheques in Transit-USD-BB,10000,10,1,0,0,0
10037,Cheques in Transit-EUR-HO,10000,10,1,0,0,0
10038,Cheques in Transit-EURO-BB,10000,10,1,0,0,0
10039,Cheques in Transit-THB-HO,10000,10,1,0,0,0
10040,Cheques in Transit-THB-BB,10000,10,1,0,0,0
10041,Current Account with NBC-USD,10000,10,1,0,0,0
10042,Current Account with NBC-USD-BB,10000,10,1,0,0,0
10043,Current Account with NBC-USD-BB,10000,10,1,0,0,0
10044,Capital Guarantee Deposit with NBC-KHR-HO,10000,10,1,0,0,0
10045,Capital Guarantee Deposit with NBC-KHR-BB,10000,10,1,0,0,0
10046,Capital Guarantee Deposit with NBC-USD-HO,10000,10,1,0,0,0
10047,Capital Guarantee Deposit with NBC-USD-BB,10000,10,1,0,0,0
10048,Reserve Requirement with NBC-KHR-HO,10000,10,1,0,0,0
10049,Reserve Requirement with NBC-KHR-BB,10000,10,1,0,0,0
10050,Reserve Requirement with NBC-USD-HO,10000,10,1,0,0,0
10051,Reserve Requirement with NBC-USD-BB,10000,10,1,0,0,0
10052,Other Demand Deposit with NBC-KHR-USD-HO,10000,10,1,0,0,0
10053,Other Demand Deposit with NBC-KHR-BB,10000,10,1,0,0,0
10054,Other Demand Deposit with NBC-USD,10000,10,1,0,0,0
10055,Other Demand Deposit with NBC-USD-BB,10000,10,1,0,0,0
10056,Fixed Deposit with NBC-KHR-USD,10000,10,1,0,0,0
10057,Fixed Deposit with NBC-KHR-BB,10000,10,1,0,0,0
10058,Fixed Deposit with NBC-USD,10000,10,1,0,0,0
10059,Fixed Deposit with NBC-USD-BB,10000,10,1,0,0,0
10060,Current Account with Bank Rated AAA to AA-USD,10000,10,1,0,0,0
10061,Current Account with Bank Rated AAA to AA-USD-BB,10000,10,1,0,0,0
10062,Current Account with Bank Rated A+ to A-KHR,10000,10,1,0,0,0
10063,Current Account with Bank Rated A+ to A-KHR-BB,10000,10,1,0,0,0
10064,Current Account with Bank Rated A+ to A-USD-BB,10000,10,1,0,0,0
10065,Current Account with Bank Rated below A- KHR,10000,10,1,0,0,0
10066,Current Account with Bank Rated below A- KHR-KHR-BB,10000,10,1,0,0,0
10067,Current Account with Cambodia Post Bank Plc-HO,10000,10,1,0,0,0
10068,Current Account with ACLEDA Bank Plc-USD,10000,10,1,0,0,0
10069,Current Account with Advanced Bank Of Asia Ltd,10000,10,1,0,0,0
10070,Current Account with Maybank-HO,10000,10,1,0,0,0
10071,Current Account with Cambodia Post Bank Plc-USD-BB,10000,10,1,0,0,0
10072,Current Account with ACLEDA Bank Plc-USD-BB,10000,10,1,0,0,0
10073,Current Account with Advanced Bank Of Asia Ltd-USD-BB,10000,10,1,0,0,0
10074,Current Account with Bank Rated below AAA to A- KHR,10000,10,1,0,0,0
10075,Current Account with Bank Rated below AAA to A- KHR-KHR-BB,10000,10,1,0,0,0
10076,Current Account with Bank Rated below AAA to A- USD,10000,10,1,0,0,0
10077,Current Account with Bank Rated below AAA to A- USD-USD-BB,10000,10,1,0,0,0
10078,Saving Account with Bank Rated A+ to A- KHR ,10000,10,1,0,0,0
10079,Saving Account with Bank Rated A+ to A- KHR -KHR-BB,10000,10,1,0,0,0
10080,Saving Account with Bank Rated A+ to A- USD,10000,10,1,0,0,0
10081,Saving Account with Bank Rated A+ to A- USD-USD-BB,10000,10,1,0,0,0
10082,Saving Account with Bank Rated A- KHR,10000,10,1,0,0,0
10083,Saving Account with Bank Rated A- KHR-KHR-BB,10000,10,1,0,0,0
